receipt, quantity, food_id, month
37,3,5,11
37,3,10,11
37,5,34,11
37,4,48,11
37,1,37,11
37,5,21,11
38,4,1,4
38,5,19,4
39,3,4,12
39,4,9,12
40,4,7,6
40,2,15,6
40,1,49,6
40,4,40,6
41,4,18,10
41,3,35,10
41,4,19,10
41,5,21,10
42,1,19,12
42,4,17,12
42,5,3,12
43,3,27,1
43,3,14,1
43,5,13,1
44,1,14,1
44,2,19,1
45,4,0,2
45,5,46,2
45,3,2,2
45,1,6,2
46,4,14,10
46,2,44,10
46,4,39,10
46,2,30,10
47,5,0,9
47,3,46,9
47,2,26,9
48,2,0,9
48,3,46,9
48,5,2,9
49,2,12,3
49,1,31,3
49,3,36,3
49,4,48,3
49,5,3,3
49,4,24,3
49,1,39,3
49,1,1,3
50,3,33,7
51,3,28,12
51,3,42,12
52,3,0,9
52,4,46,9
52,3,2,9
53,2,4,9
53,4,9,9
54,3,18,2
54,1,35,2
54,4,3,2
55,2,23,7
55,2,24,7
55,3,40,7
55,3,41,7
55,4,43,7
56,5,42,12
56,2,33,12
56,4,47,12
56,5,43,12
57,3,14,9
57,4,44,9
57,3,33,9
58,3,22,5
58,1,41,5
58,2,29,5
58,4,15,5
58,4,28,5
59,2,28,5
59,4,27,5
60,5,29,4
60,4,32,4
60,3,27,4
61,1,2,6
61,1,37,6
62,4,18,11
62,3,35,11
62,4,3,11
62,1,0,11
63,1,16,7
63,3,0,7
64,5,1,5
64,2,19,5
65,1,26,11
65,5,1,11
66,5,25,10
67,2,43,7
67,3,45,7
67,1,20,7
68,4,4,10
68,1,9,10
68,5,47,10
68,2,28,10
68,3,31,10
68,5,16,10
69,3,0,6
69,3,46,6
69,3,2,6
70,1,16,7
70,3,32,7
70,1,45,7
70,2,22,7
71,5,7,3
71,1,11,3
71,5,37,3
71,3,45,3
71,4,21,3
72,3,31,11
73,3,16,1
73,2,32,1
73,5,45,1
73,1,35,1
73,2,36,1
73,1,9,1
74,1,18,10
74,4,35,10
74,2,3,10
74,3,15,10
74,5,25,10
75,3,7,9
75,4,11,9
75,5,37,9
75,5,45,9
76,5,23,12
76,1,24,12
76,1,40,12
76,4,41,12
76,2,43,12
77,2,5,10
77,4,36,10
77,5,2,10
77,3,28,10
77,1,12,10
78,1,22,5
78,3,5,5
78,1,31,5
78,1,41,5
79,2,43,10
80,4,30,9
80,1,15,9
80,3,21,9
81,1,0,6
82,3,28,8
82,2,44,8
82,3,43,8
82,5,4,8
83,5,17,3
83,4,47,3
83,3,29,3
84,4,14,9
84,5,44,9
84,3,37,9
85,3,22,8
85,3,5,8
85,4,47,8
85,1,41,8
86,4,16,11
86,5,32,11
86,4,45,11
86,1,39,11
87,2,35,9
87,5,2,9
88,3,22,9
88,5,5,9
88,1,48,9
88,1,47,9
89,4,16,7
89,5,32,7
89,3,45,7
90,1,33,5
90,4,12,5
90,1,38,5
90,2,32,5
90,3,30,5
90,2,17,5
91,3,16,9
91,4,32,9
91,4,45,9
91,3,7,9
92,1,18,12
92,1,35,12
92,4,3,12
92,3,44,12
93,4,21,3
93,1,24,3
93,3,2,3
94,4,9,12
94,4,16,12
94,2,23,12
94,1,30,12
95,3,1,2
95,1,9,2
95,1,23,2
96,1,28,9
96,5,27,9
96,3,24,9
97,1,43,1
97,4,25,1
97,5,38,1
97,1,32,1
98,2,18,5
99,2,1,12
99,2,40,12
99,2,31,12
99,5,10,12
99,1,16,12
99,1,21,12
100,3,42,3
100,5,33,3
101,4,9,10
102,3,4,5
102,5,9,5
102,4,15,5
102,4,38,5
102,5,27,5
102,4,6,5
102,3,23,5
103,3,28,2
103,2,27,2
103,1,3,2
103,4,47,2
103,2,20,2
104,1,14,5
104,3,44,5
104,1,15,5
105,1,17,12
105,3,47,12
105,2,29,12
106,4,28,2
106,5,27,2
107,4,12,10
107,1,31,10
107,2,36,10
107,2,8,10
107,5,35,10
108,3,18,9
108,2,39,9
109,4,14,8
109,2,44,8
110,1,4,9
110,4,9,9
110,5,10,9
110,2,47,9
110,1,2,9
110,1,0,9
110,3,20,9
111,3,28,9
111,2,27,9
112,4,2,10
112,3,29,10
112,2,21,10
112,5,10,10
112,1,42,10
113,2,28,12
113,2,27,12
114,1,18,5
114,2,7,5
114,4,12,5
115,5,42,5
115,5,33,5
116,5,42,8
116,4,33,8
116,1,26,8
117,5,26,10
117,1,20,10
117,4,18,10
117,3,10,10
117,5,48,10
117,1,41,10
118,4,39,5
118,2,10,5
119,2,7,1
119,5,15,1
119,4,49,1
119,1,33,1
120,4,0,11
120,5,46,11
120,1,2,11
121,1,33,10
121,5,13,10
121,2,20,10
121,3,28,10
121,2,14,10
122,1,28,12
122,3,27,12
122,5,1,12
122,3,30,12
123,2,17,3
123,5,47,3
123,3,29,3
124,1,44,3
124,2,10,3
125,4,40,11
125,4,38,11
125,3,27,11
125,5,25,11
126,3,41,4
126,4,23,4
126,3,0,4
127,1,26,5
127,3,15,5
127,3,31,5
127,2,2,5
127,1,39,5
128,1,7,11
128,1,15,11
128,1,49,11
129,2,42,6
129,1,33,6
129,1,5,6
129,5,26,6
129,2,23,6
130,2,7,2
130,2,15,2
130,5,49,2
131,5,4,3
131,4,7,3
131,1,3,3
131,1,39,3
131,5,28,3
132,1,24,6
132,5,34,6
132,1,1,6
132,1,26,6
132,2,46,6
133,2,7,1
133,3,14,1
133,5,32,1
134,4,38,7
134,4,48,7
134,2,1,7
134,3,25,7
134,4,11,7
135,5,0,4
135,2,46,4
135,5,2,4
136,5,35,9
136,3,1,9
136,5,17,9
136,3,16,9
136,5,11,9
136,5,10,9
137,5,3,12
137,3,33,12
137,5,31,12
137,4,29,12
138,3,8,12
138,2,21,12
138,4,32,12
139,5,2,7
139,4,18,7
139,5,10,7
140,5,33,4
141,4,40,9
141,4,11,9
141,3,5,9
141,4,20,9
142,5,7,3
142,3,15,3
142,5,49,3
142,4,47,3
143,1,45,7
143,5,40,7
143,3,46,7
144,2,5,10
144,5,11,10
144,4,4,10
144,3,21,10
145,2,14,11
145,4,44,11
145,2,21,11
145,1,2,11
146,1,1,3
147,2,26,4
147,3,38,4
147,1,39,4
147,1,49,4
148,3,28,4
148,3,27,4
148,5,33,4
148,2,9,4
148,5,4,4
148,1,46,4
149,1,42,1
149,3,33,1
149,2,7,1
150,3,14,11
150,3,25,11
150,3,4,11
151,2,32,7
151,2,5,7
152,3,28,4
152,1,27,4
152,1,24,4
153,3,22,8
153,4,45,8
153,1,49,8
153,1,13,8
154,4,7,5
154,4,15,5
155,3,0,10
155,4,5,10
155,2,32,10
156,5,49,7
156,4,41,7
156,1,47,7
156,3,39,7
157,3,37,7
157,1,13,7
157,5,26,7
158,4,7,5
158,5,15,5
158,4,49,5
158,4,25,5
159,3,23,10
159,1,15,10
160,4,28,9
160,1,0,9
160,1,3,9
160,1,27,9
161,2,11,10
161,3,47,10
162,3,28,2
162,3,17,2
162,1,7,2
163,4,22,12
163,2,26,12
163,2,42,12
164,1,7,4
164,3,15,4
164,2,11,4
164,1,20,4
164,5,18,4
164,1,39,4
164,2,46,4
164,2,45,4
165,4,16,11
165,2,32,11
165,1,45,11
166,2,42,3
166,1,33,3
167,2,0,10
167,2,46,10
167,4,21,10
167,5,27,10
167,3,14,10
168,2,35,3
168,1,3,3
168,4,20,3
169,3,42,4
169,3,33,4
170,2,22,11
170,3,5,11
171,4,16,12
171,2,32,12
171,4,45,12
171,1,29,12
171,4,1,12
171,5,22,12
171,1,31,12
172,2,45,9
172,5,9,9
173,1,16,1
173,4,19,1
173,2,22,1
173,5,43,1
173,5,29,1
173,3,48,1
174,4,18,8
174,2,35,8
174,4,3,8
174,1,0,8
174,1,39,8
175,2,47,2
175,2,15,2
175,1,41,2
176,4,35,10
176,1,15,10
176,2,10,10
177,3,17,2
177,3,47,2
177,1,29,2
177,2,21,2
177,5,27,2
178,5,17,3
178,4,47,3
178,1,29,3
179,3,4,8
179,5,20,8
179,3,32,8
179,2,49,8
180,4,15,6
180,4,28,6
180,1,25,6
181,4,42,11
181,2,33,11
181,1,36,11
181,2,7,11
182,1,18,6
182,5,35,6
182,5,3,6
183,1,16,7
183,4,32,7
183,4,45,7
184,3,12,8
185,5,42,12
185,3,33,12
186,4,42,12
186,3,33,12
186,4,48,12
186,5,15,12
186,3,49,12
186,2,36,12
186,2,47,12
187,4,4,4
187,5,9,4
187,4,39,4
187,1,36,4
187,3,20,4
188,2,48,11
188,1,32,11
189,2,4,12
189,1,9,12
189,4,17,12
190,4,28,9
190,3,27,9
190,4,10,9
190,5,33,9
190,1,8,9
190,3,34,9
191,2,17,1
191,5,47,1
192,1,18,10
192,1,35,10
192,2,3,10
192,2,7,10
193,2,35,3
193,5,6,3
193,1,38,3
193,2,26,3
194,2,42,8
194,1,33,8
194,3,24,8
194,4,23,8
195,4,34,5
195,1,29,5
196,3,42,7
196,4,33,7
196,3,19,7
197,1,10,7
197,2,24,7
197,5,14,7
197,2,34,7
197,5,26,7
198,1,1,6
198,1,33,6
199,1,28,12
199,2,27,12
199,1,6,12
200,4,13,10
200,1,16,10
200,5,39,10
200,5,32,10
201,5,21,9
201,1,22,9
201,2,46,9
202,5,42,8
202,1,33,8
202,1,15,8
202,5,19,8
202,5,47,8
203,1,18,6
203,4,35,6
203,2,3,6
203,3,36,6
204,5,22,11
204,1,1,11
205,3,4,10
205,1,9,10
206,2,19,8
206,1,35,8
207,4,24,10
207,1,15,10
207,4,31,10
207,5,20,10
208,3,3,10
208,2,17,10
208,5,8,10
209,3,28,5
209,4,26,5
209,5,11,5
210,1,42,12
210,4,33,12
210,1,5,12
211,2,42,5
211,4,33,5
211,4,11,5
212,3,42,11
212,2,28,11
213,1,42,2
213,4,44,2
213,2,0,2
213,2,5,2
214,2,40,7
214,2,14,7
214,1,25,7
215,2,0,8
215,3,46,8
215,3,2,8
216,3,4,4
216,4,9,4
216,3,11,4
216,2,38,4
217,4,4,8
217,5,9,8
217,1,13,8
217,2,20,8
217,3,34,8
218,4,28,8
218,1,27,8
218,2,29,8
219,3,24,1
219,2,47,1
219,2,49,1
219,4,25,1
219,3,30,1
219,4,2,1
219,3,45,1
219,1,41,1
220,1,11,5
220,1,32,5
220,4,35,5
221,2,23,5
221,4,49,5
221,5,17,5
221,5,9,5
221,2,22,5
222,4,36,3
222,1,39,3
222,3,3,3
222,3,46,3
223,2,22,12
223,1,5,12
224,4,16,4
224,1,32,4
225,3,12,10
225,4,31,10
225,3,36,10
225,1,48,10
225,2,19,10
225,3,2,10
226,2,4,2
226,2,9,2
226,4,44,2
227,2,44,3
227,4,15,3
228,1,12,2
228,2,34,2
229,4,14,8
229,4,44,8
229,2,49,8
229,4,31,8
229,3,1,8
230,1,0,10
230,4,46,10
230,1,2,10
230,1,19,10
231,1,7,10
231,1,11,10
231,2,37,10
231,2,45,10
232,3,7,8
232,3,8,8
232,1,41,8
232,2,14,8
233,4,1,6
233,4,17,6
233,4,12,6
233,4,32,6
234,1,14,7
234,1,44,7
234,4,36,7
235,2,1,2
235,3,19,2
235,1,13,2
235,1,12,2
235,5,39,2
235,5,16,2
236,2,6,1
236,3,4,1
237,4,14,7
237,1,44,7
237,5,7,7
238,1,11,8
238,2,23,8
239,5,0,7
239,2,46,7
239,1,2,7
239,3,41,7
239,3,48,7
240,4,14,9
240,2,44,9
240,4,45,9
241,5,18,6
241,2,35,6
241,3,3,6
241,2,44,6
242,1,12,8
243,5,42,3
243,4,40,3
243,1,48,3
244,5,26,5
244,3,18,5
244,2,7,5
244,3,12,5
245,1,42,1
245,5,33,1
245,1,25,1
245,5,0,1
246,4,22,7
246,2,5,7
246,1,31,7
247,5,28,1
247,4,27,1
248,2,7,9
248,1,15,9
248,2,49,9
248,4,41,9
248,3,10,9
248,1,20,9
249,3,16,9
249,1,32,9
249,4,45,9
249,5,0,9
249,1,36,9
249,5,33,9
249,1,21,9
249,5,49,9
250,5,17,6
250,3,47,6
250,1,29,6
251,5,2,5
251,3,25,5
251,4,3,5
251,5,38,5
252,5,12,2
252,4,31,2
252,2,36,2
252,4,48,2
253,3,23,3
253,1,24,3
253,1,40,3
253,2,41,3
253,4,43,3
254,3,13,7
254,2,20,7
255,1,4,2
255,1,9,2
255,3,32,2
255,4,49,2
255,3,7,2
255,2,46,2
255,3,8,2
255,5,28,2
256,3,14,5
256,1,44,5
256,2,12,5
257,2,24,4
257,3,23,4
258,5,38,3
258,4,45,3
258,3,26,3
259,4,21,5
259,1,33,5
259,1,1,5
259,5,13,5
259,4,10,5
260,1,45,2
260,3,26,2
260,5,38,2
261,4,1,6
261,5,41,6
261,4,13,6
261,5,25,6
261,4,33,6
261,1,30,6
261,4,35,6
261,2,12,6
262,5,42,3
262,2,33,3
263,5,24,10
263,2,37,10
264,4,48,10
264,4,25,10
264,5,33,10
264,4,40,10
265,1,14,11
265,5,44,11
265,2,27,11
265,5,48,11
265,2,11,11
266,3,17,1
266,1,47,1
266,3,29,1
267,4,16,5
267,1,32,5
267,2,45,5
267,2,27,5
268,5,31,3
268,3,1,3
269,3,17,5
269,3,47,5
269,1,29,5
270,1,7,8
270,2,15,8
270,3,49,8
271,5,7,8
271,2,11,8
271,4,37,8
271,4,45,8
272,1,46,2
272,5,5,2
272,5,36,2
272,2,31,2
272,3,7,2
272,2,47,2
273,2,22,1
273,1,5,1
273,4,48,1
274,4,0,6
274,1,46,6
274,4,15,6
274,1,26,6
275,3,3,5
275,4,37,5
276,3,39,6
276,3,0,6
276,2,35,6
276,2,18,6
277,2,42,5
277,2,40,5
278,2,0,2
278,5,46,2
278,2,2,2
279,4,7,3
279,4,15,3
279,5,49,3
280,3,28,12
280,5,31,12
280,2,24,12
281,3,45,5
281,5,47,5
281,5,9,5
281,2,16,5
282,3,7,8
282,2,15,8
282,5,49,8
282,5,41,8
282,1,6,8
283,3,18,7
283,1,35,7
283,5,3,7
284,4,14,11
284,1,44,11
284,3,28,11
284,4,37,11
285,3,42,11
285,4,33,11
286,3,14,11
286,1,44,11
286,5,2,11
287,3,28,6
287,4,39,6
287,3,45,6
288,2,4,12
288,1,9,12
288,3,17,12
288,1,19,12
288,1,39,12
288,4,38,12
289,3,9,5
289,5,17,5
290,3,8,6
290,2,43,6
290,2,14,6
290,3,36,6
290,5,38,6
291,3,12,8
291,1,31,8
291,3,36,8
291,1,48,8
292,4,12,11
292,1,31,11
292,1,36,11
292,4,48,11
293,3,14,1
293,4,4,1
293,5,37,1
294,5,6,5
294,5,45,5
295,2,0,12
295,4,45,12
295,4,26,12
296,4,12,8
296,3,38,8
296,1,19,8
296,3,21,8
297,4,22,10
297,5,33,10
298,1,4,11
298,2,9,11
298,2,12,11
299,1,12,11
299,4,31,11
299,4,36,11
299,2,48,11
300,5,49,2
300,1,32,2
300,3,17,2
301,4,7,11
301,2,11,11
301,4,37,11
301,5,45,11
302,5,14,8
302,3,44,8
302,5,30,8
302,3,2,8
302,2,16,8
303,5,18,11
303,5,35,11
303,4,3,11
303,4,20,11
303,2,28,11
304,5,23,8
304,1,24,8
304,5,40,8
304,3,41,8
304,5,43,8
305,5,47,6
305,5,19,6
305,2,22,6
305,4,26,6
305,3,5,6
305,1,16,6
306,3,41,5
306,5,8,5
306,5,4,5
306,3,5,5
306,4,31,5
306,2,49,5
307,1,7,8
307,1,15,8
307,2,49,8
307,3,23,8
307,1,27,8
308,4,40,6
308,2,10,6
308,4,14,6
309,1,7,10
309,4,15,10
310,3,22,12
310,4,31,12
310,2,46,12
310,5,34,12
311,1,12,8
311,5,31,8
311,5,36,8
311,5,48,8
312,5,0,3
312,2,46,3
313,4,7,9
313,1,15,9
313,2,49,9
313,5,28,9
313,2,3,9
313,5,18,9
314,2,18,11
314,2,35,11
314,4,3,11
315,5,14,10
315,3,44,10
315,3,36,10
316,5,17,4
316,4,47,4
317,2,11,6
317,4,18,6
317,2,35,6
318,3,28,12
318,4,27,12
319,4,14,6
319,4,44,6
319,1,9,6
320,2,2,12
320,4,29,12
320,1,24,12
321,3,18,5
321,1,35,5
322,3,12,12
322,1,31,12
322,5,36,12
322,4,48,12
323,2,17,11
323,2,47,11
323,2,29,11
323,3,22,11
324,5,28,9
324,5,27,9
325,4,4,7
325,3,9,7
325,3,29,7
325,4,5,7
326,4,0,5
326,4,46,5
326,2,2,5
327,1,17,12
327,1,47,12
327,2,29,12
327,1,15,12
327,5,37,12
328,1,40,8
328,5,27,8
328,1,18,8
328,2,8,8
329,4,19,1
329,5,34,1
330,2,1,3
330,1,19,3
330,1,32,3
331,5,23,2
331,4,24,2
331,5,40,2
331,5,41,2
331,1,43,2
332,4,14,7
332,2,44,7
332,4,48,7
333,4,4,2
333,2,47,2
333,2,34,2
334,1,24,3
334,1,34,3
334,5,36,3
334,2,44,3
335,3,29,6
335,1,28,6
335,1,47,6
335,2,32,6
336,5,25,9
336,4,40,9
336,4,26,9
336,4,29,9
337,3,41,4
337,1,45,4
337,2,33,4
337,1,8,4
338,5,35,6
338,3,5,6
338,1,40,6
339,4,22,9
340,5,7,12
340,4,37,12
340,4,31,12
341,1,0,1
341,2,46,1
341,2,2,1
342,1,7,4
342,3,15,4
342,4,49,4
343,1,17,4
343,3,47,4
344,3,28,10
344,3,27,10
345,5,42,8
345,4,33,8
345,4,25,8
345,2,41,8
345,4,8,8
346,5,32,11
346,3,15,11
346,2,21,11
347,4,19,8
347,3,12,8
347,5,22,8
348,1,14,7
348,1,38,7
349,5,1,3
349,3,5,3
350,4,7,3
350,3,11,3
350,1,37,3
350,5,45,3
351,4,0,11
351,2,34,11
351,5,40,11
352,3,37,3
352,1,13,3
352,3,43,3
353,2,31,9
353,1,2,9
354,5,0,12
354,4,46,12
354,2,2,12
355,2,42,8
356,3,16,10
356,2,32,10
356,2,45,10
357,5,42,12
357,4,33,12
357,1,24,12
357,4,30,12
357,3,2,12
358,4,1,2
358,2,12,2
358,3,15,2
358,2,40,2
358,1,26,2
359,2,4,1
359,3,9,1
359,2,14,1
360,2,33,5
360,2,27,5
360,2,3,5
361,5,3,7
361,4,42,7
361,4,27,7
361,2,32,7
361,1,28,7
361,4,11,7
362,5,4,12
362,3,8,12
362,4,42,12
362,2,37,12
363,1,28,12
363,1,27,12
363,2,12,12
363,5,46,12
363,4,17,12
364,5,32,1
364,3,49,1
365,3,34,7
365,3,42,7
365,5,43,7
366,1,14,2
366,3,44,2
366,1,37,2
366,1,8,2
366,2,18,2
367,5,17,12
367,2,47,12
367,1,29,12
367,3,20,12
367,3,18,12
367,5,26,12
368,4,3,6
369,4,28,10
369,1,27,10
369,5,31,10
370,2,0,2
370,4,46,2
371,1,38,6
371,5,1,6
371,4,2,6
372,4,7,7
372,5,11,7
372,3,37,7
373,3,14,8
373,2,25,8
373,3,34,8
373,4,0,8
373,1,21,8
374,4,35,9
374,4,45,9
374,2,15,9
375,2,17,6
375,3,47,6
375,3,29,6
376,1,7,8
376,4,15,8
376,2,49,8
377,2,23,2
377,4,24,2
377,2,40,2
377,5,41,2
377,5,43,2
378,4,14,7
378,3,44,7
378,3,49,7
378,4,6,7
379,3,4,6
379,2,22,6
380,5,38,12
380,3,43,12
380,1,33,12
381,4,42,7
381,3,32,7
382,3,28,8
382,3,20,8
383,3,36,2
383,3,9,2
383,2,18,2
383,3,42,2
383,2,16,2
383,1,31,2
384,2,39,10
384,4,1,10
384,4,40,10
384,5,18,10
384,2,27,10
385,3,42,10
385,4,33,10
385,2,16,10
386,5,18,9
386,2,35,9
386,2,3,9
387,5,31,8
388,4,22,5
388,2,5,5
388,1,29,5
389,1,4,6
389,1,9,6
389,2,40,6
390,3,22,3
390,3,4,3
391,3,48,5
391,2,25,5
392,3,19,3
392,3,29,3
392,4,25,3
392,4,38,3
392,2,17,3
393,3,8,11
393,4,0,11
394,4,22,6
394,4,24,6
395,3,13,8
395,2,5,8
395,1,49,8
396,3,28,8
396,3,27,8
397,1,22,3
398,1,14,3
398,3,44,3
399,2,28,3
399,1,27,3
399,1,3,3
399,5,20,3
400,3,18,1
400,1,35,1
400,4,3,1
401,5,28,9
401,2,21,9
401,5,7,9
402,3,18,8
402,4,35,8
402,2,43,8
403,3,4,8
403,2,48,8
403,2,25,8
404,5,16,12
404,3,38,12
405,4,14,5
405,5,24,5
405,3,29,5
406,2,13,7
406,3,0,7
406,4,4,7
407,4,34,9
407,3,32,9
407,3,36,9
408,3,13,12
408,1,29,12
408,4,25,12
408,1,1,12
409,4,17,9
409,5,47,9
410,4,23,11
410,1,24,11
410,4,40,11
410,5,41,11
410,3,43,11
411,4,17,7
411,2,47,7
412,1,4,1
412,1,15,1
412,4,1,1
412,5,14,1
413,1,18,3
413,4,35,3
413,5,3,3
414,3,11,7
414,2,40,7
414,5,1,7
415,1,32,8
416,4,18,3
416,4,35,3
416,5,3,3
417,5,4,5
417,1,16,5
417,4,23,5
418,5,31,2
418,1,7,2
418,1,4,2
418,3,18,2
418,2,20,2
418,4,14,2
419,3,28,6
419,2,29,6
419,2,35,6
419,2,5,6
420,1,9,11
420,1,26,11
420,2,18,11
421,1,13,12
421,2,15,12
421,5,45,12
421,1,36,12
421,1,29,12
422,1,24,6
422,5,22,6
423,4,1,5
423,4,25,5
424,2,14,5
424,3,44,5
424,4,9,5
425,3,16,2
425,4,32,2
425,4,45,2
425,1,9,2
425,1,34,2
426,2,36,3
426,2,25,3
427,1,1,6
427,1,25,6
427,5,18,6
427,2,13,6
428,1,48,5
428,1,11,5
429,1,29,5
429,3,31,5
429,1,26,5
430,5,14,2
430,1,44,2
431,3,18,4
431,1,35,4
431,4,3,4
432,1,41,7
432,1,1,7
432,3,27,7
433,1,12,5
433,3,31,5
433,1,36,5
433,3,48,5
434,5,1,12
434,1,19,12
434,4,39,12
434,3,37,12
435,3,40,7
435,1,49,7
436,2,1,1
436,5,19,1
436,3,7,1
437,5,23,8
437,3,4,8
437,2,31,8
437,2,32,8
438,5,36,5
438,1,10,5
438,1,18,5
438,5,37,5
438,1,28,5
439,2,34,1
439,2,2,1
439,3,21,1
440,4,46,9
440,3,18,9
440,5,25,9
441,2,4,5
441,1,31,5
441,1,8,5
442,2,23,10
442,4,34,10
442,5,30,10
443,4,5,11
443,3,43,11
443,2,8,11
443,1,10,11
444,5,23,8
444,4,24,8
444,1,40,8
444,4,41,8
444,5,43,8
445,4,0,11
445,4,46,11
445,2,2,11
445,1,45,11
446,1,22,10
446,2,5,10
446,1,36,10
447,1,18,11
447,5,35,11
447,1,3,11
447,1,14,11
447,1,32,11
448,3,42,5
448,4,29,5
449,1,1,7
449,3,19,7
449,4,32,7
450,1,14,6
450,3,44,6
450,5,24,6
450,5,43,6
450,4,5,6
450,2,9,6
451,1,7,9
451,3,11,9
451,3,37,9
451,1,45,9
452,1,9,1
452,2,32,1
452,3,49,1
452,3,30,1
453,3,14,11
453,4,34,11
453,2,22,11
453,2,4,11
454,1,4,9
454,2,9,9
454,5,3,9
455,5,16,5
455,5,32,5
455,5,45,5
456,3,16,6
456,5,32,6
456,4,14,6
456,5,33,6
456,1,8,6
457,5,31,1
458,1,22,5
458,5,5,5
458,2,11,5
458,4,38,5
458,3,23,5
458,2,20,5
458,3,15,5
459,4,18,12
459,1,35,12
459,1,3,12
459,3,36,12
459,3,41,12
460,3,15,11
460,3,25,11
460,2,6,11
460,4,21,11
460,1,45,11
461,4,6,9
462,5,2,4
462,1,23,4
462,5,5,4
463,2,17,2
463,3,14,2
464,4,8,3
464,4,44,3
464,5,19,3
465,4,14,6
465,1,12,6
466,1,17,6
466,2,47,6
466,5,29,6
466,5,13,6
466,5,32,6
466,5,31,6
467,5,1,10
467,2,19,10
467,1,39,10
467,1,43,10
468,1,14,5
468,4,18,5
468,1,25,5
468,1,38,5
468,5,6,5
469,4,7,8
469,1,15,8
469,5,49,8
469,2,13,8
469,5,17,8
469,5,28,8
469,4,22,8
470,4,0,10
470,2,46,10
470,5,2,10
471,5,34,1
471,1,20,1
471,4,37,1
471,3,9,1
472,4,26,5
472,3,19,5
472,2,5,5
472,1,38,5
472,4,24,5
473,3,14,7
473,4,33,7
473,4,48,7
474,5,43,2
474,4,31,2
474,5,26,2
474,2,29,2
475,4,42,3
475,5,33,3
476,3,7,8
476,2,11,8
476,3,37,8
476,3,45,8
477,2,45,8
477,2,40,8
477,2,49,8
477,4,6,8
478,3,22,2
478,4,5,2
479,5,39,7
479,4,33,7
479,5,26,7
479,2,12,7
479,2,32,7
479,5,31,7
480,5,1,5
480,4,19,5
480,3,42,5
480,3,5,5
480,5,3,5
480,4,30,5
480,5,38,5
480,1,9,5
481,1,42,5
481,5,2,5
481,2,29,5
481,4,35,5
482,4,32,3
482,3,29,3
482,3,27,3
483,4,44,10
483,3,20,10
484,2,12,3
484,2,31,3
484,1,36,3
484,4,48,3
485,4,42,3
485,5,33,3
485,3,35,3
485,1,16,3
486,5,26,5
487,2,42,12
487,2,33,12
488,4,18,11
488,2,35,11
488,2,3,11
489,2,35,3
489,5,23,3
489,1,37,3
490,5,17,7
490,5,47,7
490,4,29,7
490,3,44,7
491,3,18,4
491,4,35,4
491,4,3,4
491,1,26,4
492,3,28,12
492,5,27,12
492,1,19,12
493,4,24,8
494,2,1,8
494,2,19,8
494,3,48,8
495,5,14,11
495,2,44,11
495,4,7,11
496,4,6,6
496,4,47,6
496,3,26,6
496,4,15,6
497,3,14,10
497,4,44,10
498,1,18,4
498,5,35,4
498,5,3,4
499,4,28,2
499,2,24,2
499,3,46,2
499,5,17,2
499,5,5,2
500,2,20,1
500,1,1,1
500,3,18,1
500,3,32,1
500,2,47,1
500,5,3,1
500,2,26,1
501,5,4,7
501,4,12,7
501,4,17,7
502,5,23,2
502,2,24,2
502,5,40,2
502,3,41,2
502,5,43,2
503,4,22,9
503,5,5,9
504,1,7,2
504,2,11,2
